method:db:BMCdb:1	(5S\s+rRNA\s+Data\s+Bank)
method:db:BMCdb:36	(db\s+ERGE\s+II)|([Dd]ata[Bb]ase\s+of\s+Experimental\s+Results\s+on\s+Gene\s+Expression)
method:db:BMCdb:37	(DED)|([Dd]ata[Bb]ase\s+of\s+Evolutionary\s+Distances)
method:db:BMCdb:38	(DG-CST)|(Disease\s+Genes\s+Conserved\s+Sequence\s+Tags\s+[Dd]ata[Bb]ase)
method:db:BMCdb:39	(Diamond\s+Sting)
method:db:BMCdb:40	(Dictionary\s+of\s+Cell\s+and\s+Molecular\s+Biology)
method:db:BMCdb:41	(DictyDB)|(An\s+ACeDB\s+[Dd]ata[Bb]ase\s+for\s+Dictyostelium)
method:db:BMCdb:42	(DOGS)|([Dd]ata[Bb]ase\s+Of\s+Genome\s+Sizes)
method:db:BMCdb:43	(DOMO)
method:db:BMCdb:44	(DoTs)|([Dd]ata[Bb]ase\s+of\s+Transcribed\s+Sequences)
method:db:BMCdb:45	(Drosophila\s+DNase\s+I\s+Footprint\s+[Dd]ata[Bb]ase)
method:db:BMCdb:46	(DroSpeGe)|(Drosophila\s+Species\s+Genomes)
method:db:BMCdb:47	(DSSP)|(The\s+[Dd]ata[Bb]ase\s+of\s+Secondary\s+Structures\s+Assignments)
method:db:BMCdb:48	(E\.\s+coli\s+Genome\s+Project)
method:db:BMCdb:49	(E\.coli\s+[Dd]ata[Bb]ase\s+Collection)
method:db:BMCdb:50	(EBI)|(European\s+Bioinformatics\s+Institute)
method:db:BMCdb:51	(ELISA)|(Evolutionary\s+Lineage\s+Inferred\s+from\s+Structural\s+Alignment)
method:db:BMCdb:52	(EMAP)|(The\s+Standard\s+Anatomical\s+Nomenclature\s+[Dd]ata[Bb]ase)
method:db:BMCdb:53	(EMMA)|(European\s+Mouse\s+Mutant\s+Archive)
method:db:BMCdb:54	(Esther)|(Esterases)
method:db:BMCdb:55	(ESTuber)
method:db:BMCdb:56	(European\s+Vitis\s+[Dd]ata[Bb]ase)
method:db:BMCdb:57	(ExPASy\s+Proteomics\s+Tools)
method:db:BMCdb:58	(FAMSBASE)
method:db:BMCdb:59	(FESD)|(Functional\s+Element\s+SNPs\s+[Dd]ata[Bb]ase)
method:db:BMCdb:60	(FSSP)|(Fold\s+Classification\s+Based\s+on\s+Structure-Structure\s+Alignment\s+of\s+Proteins)
method:db:BMCdb:61	(GALA)|(Genome\s+Alignment\s+and\s+Annotation\s+[Dd]ata[Bb]ase)
method:db:BMCdb:62	(Gene\s+Finder)
method:db:BMCdb:63	(Gene3D)
method:db:BMCdb:64	(GeneNet)
method:db:BMCdb:65	(GeneSNPs)
method:db:BMCdb:66	(Genetic\s+Linkage\s+Analysis)
method:db:BMCdb:67	(GenoChore)
method:db:BMCdb:68	(GenomeNet)
method:db:BMCdb:69	(GENSCAN)
method:db:BMCdb:70	(GHDb)|(Glycoside\s+Hydrolases\s+[Dd]ata[Bb]ase)
method:db:BMCdb:71	(GOBASE)|(The\s+Organelle\s+Genome\s+[Dd]ata[Bb]ase)
method:db:BMCdb:72	(gRNA)|(The\s+Guide\s+RNA\s+[Dd]ata[Bb]ase)
method:db:BMCdb:73	(GTD)|(Genomic\s+Threading\s+[Dd]ata[Bb]ase)
method:db:BMCdb:74	(GVS)|(Genome\s+Variation\s+Server)
method:db:BMCdb:75	(HEP)|(Human\s+Epigenome\s+Project)
method:db:BMCdb:76	(HSSP)|(Homology-derived\s+Secondary\s+Structure\s+of\s+Proteins)
method:db:BMCdb:77	(HuGE\s+Index)|(Human\s+Gene\s+Expression\s+Index)
method:db:BMCdb:78	(Human\s+Genome\s+Sequencing)
method:db:BMCdb:79	(Human\s+Proteomics\s+Initiative)
method:db:BMCdb:80	(Human\s+Radiation\s+Hybrid\s+Mapping)
method:db:BMCdb:81	(HyPaLib)
method:db:BMCdb:82	(Immunogenetics\s+[Dd]ata[Bb]ase)
method:db:BMCdb:83	(InGaP\s+[Dd]ata[Bb]ase)|(Integrative\s+Gene\s+and\s+Protein\s+Expression\s+[Dd]ata[Bb]ase)
method:db:BMCdb:84	(InterPare)|(The\s+Protein\s+Interfaceome\s+[Dd]ata[Bb]ase)
method:db:BMCdb:85	(IPI)|(International\s+Protein\s+Index)
method:db:BMCdb:86	(JenPep)
method:db:BMCdb:87	(KEGG)|(Kyoto\s+Encyclopedia\s+of\s+Genes\s+and\s+Genomes)
method:db:BMCdb:88	(L1Base)
method:db:BMCdb:89	(LIGAND)|(Ligand\s+Chemical\s+[Dd]ata[Bb]ase\s+for\s+Enzyme\s+Reactions)
method:db:BMCdb:90	(Low\s+Density\s+Lipoprotein\s+Receptor\s+Mutation\s+[Dd]ata[Bb]ase)
method:db:BMCdb:91	(LPFC)|(A\s+Library\s+of\s+Proteins\s+Family\s+Cores)
method:db:BMCdb:92	(MADS\s+Domain\s+Transcription\s+Factors)
method:db:BMCdb:93	(MAIZEWALL)|(A\s+maize\s+cell\s+wall\s+[Dd]ata[Bb]ase)
method:db:BMCdb:94	(MAR-Finder)
method:db:BMCdb:95	(Metallothioneins)
method:db:BMCdb:96	(MGD)|(Mouse\s+Genome\s+[Dd]ata[Bb]ase)
method:db:BMCdb:97	(miRGen)
method:db:BMCdb:98	(miRSNP)|(Polymorphism\s+in\s+microRNA\s+Target\s+Site)
method:db:BMCdb:99	(Mitochondrial\s+Carriers)
method:db:BMCdb:100	(MMDB)|(Molecular\s+Modeling\s+[Dd]ata[Bb]ase)
method:db:BMCdb:101	(Molecular\s+Animations\s+of\s+Large\s+Molecules)
method:db:BMCdb:102	(MtbRegList)
method:db:BMCdb:103	(Munich\s+Information\s+Centre\s+for\s+Protein\s+Sequences)
method:db:BMCdb:104	(MutS)|(The\s+MutS\s+Protein\s+Family)
method:db:BMCdb:105	(NCBI\s+Entrez)
method:db:BMCdb:106	(NDB)|(Nucleic\s+Acid\s+[Dd]ata[Bb]ase)
method:db:BMCdb:107	(NetGene2)
method:db:BMCdb:108	(NetStart)
method:db:BMCdb:109	(Neurosciences\s+on\s+the\s+Internet)
method:db:BMCdb:110	(NIEHS\s+SNPs)|(NIEHS\s+Environmental\s+Genome\s+Project)
method:db:BMCdb:111	(nrdb90)
method:db:BMCdb:112	(NRL_3D)|(PIR-NRL3D\s+Sequence-Structure\s+[Dd]ata[Bb]ase)
method:db:BMCdb:113	(NucleaRDB)|(Nuclear\s+Receptors\s+[Dd]ata[Bb]ase)
method:db:BMCdb:114	(O-GlycBase)|(O-Glycosylated\s+Proteins)
method:db:BMCdb:115	(OBO)|(Open\s+Biomedical\s+Ontologies)
method:db:BMCdb:116	(OMGProm)|(Orthologous\s+Mammalian\s+Gene\s+Promoters)
method:db:BMCdb:117	(OMIM\s+Morbid\s+Map)|(Online\s+Mendelian\s+Inheritance\s+in\s+Man\s+Morbid\s+Map)
method:db:BMCdb:118	(openSputnik)
method:db:BMCdb:119	(OWL)|(OWL\s+Composite\s+Protein\s+Sequence\s+[Dd]ata[Bb]ase)
method:db:BMCdb:120	(p53\s+[Dd]ata[Bb]ase\s+France)
method:db:BMCdb:121	(PatBase)|(P-Type\s+ATPase\s+[Dd]ata[Bb]ase)
method:db:BMCdb:122	(PDBsel)|(The\s+PDBselect\s+[Dd]ata[Bb]ase)
method:db:BMCdb:123	(PEDANT)|(Protein\s+Extraction\s+Description\s+and\s+Analysis\s+Tool)
method:db:BMCdb:124	(PFAM)|(Protein\s+Families\s+[Dd]ata[Bb]ase)
method:db:BMCdb:125	(pFind)|(peptide/protein\s+Finder)
method:db:BMCdb:126	(PhosphaBase)
method:db:BMCdb:127	(PhosphoBase)
method:db:BMCdb:128	(PhyloPat)
method:db:BMCdb:129	(PIR\s+Non-Redundant\s+Reference\s+Sequence\s+[Dd]ata[Bb]ase)
method:db:BMCdb:130	(PIR-ALN)|(Alignment\s+[Dd]ata[Bb]ase\s+Information)
method:db:BMCdb:131	(PLMItRNA)|(tRNA\s+Molecules\s+and\s+Genes\s+in\s+Mitochondria\s+of\s+Photosynthetic\s+Eukaryotes)
method:db:BMCdb:132	(Polymorphisms\s+from\s+Genomic\s+Sequence)
method:db:BMCdb:133	(PolyPhen)|(Polymorphism\s+Phenotyping)
method:db:BMCdb:134	(PPARR)|(The\s+Peroxisome\s+Proliferator-Activated\s+Receptor\s+Resource)
method:db:BMCdb:135	(ProDom)
method:db:BMCdb:136	(ProfileScan\s+Server)
method:db:BMCdb:137	(PROSITE)|([Dd]ata[Bb]ase\s+of\s+Protein\s+Families\s+and\s+Domains)
method:db:BMCdb:138	(ProtFam)|(Protein\s+Sequence\s+Homology\s+[Dd]ata[Bb]ase)
method:db:BMCdb:139	(ProtoMap)
method:db:BMCdb:140	(Pseudomonas\s+aeruginosa\s+Genome\s+[Dd]ata[Bb]ase)
method:db:BMCdb:141	(PSORT\s+WWW)|(Prediction\s+of\s+Protein\s+Sorting\s+Signals\s+and\s+Localisation\s+Sites\s+in\s+Amino\s+Acid\s+Sequences)
method:db:BMCdb:142	(PubMLST)
method:db:BMCdb:143	(QSCOP)|(Quantified\s+Structural\s+Classification\s+of\s+Proteins)
method:db:BMCdb:144	(QTLdb)|(Animal\s+Quantitative\s+Trait\s+Loci\s+[Dd]ata[Bb]ase)
method:db:BMCdb:145	(Radiation\s+Hybrid\s+[Dd]ata[Bb]ase)
method:db:BMCdb:146	(RDP)|(The\s+Ribosomal\s+[Dd]ata[Bb]ase\s+Project)
method:db:BMCdb:147	(Repbase)
method:db:BMCdb:148	(Rfam)|(RNA\s+Families)
method:db:BMCdb:149	(RGD)|(Rat\s+Genome\s+[Dd]ata[Bb]ase)
method:db:BMCdb:150	(RHdb)|(Radiation\s+Hybrid\s+[Dd]ata[Bb]ase)
method:db:BMCdb:151	(RNA\s+Modification\s+[Dd]ata[Bb]ase)
method:db:BMCdb:152	(SBASE)|(A\s+Protein\s+Domain\s+Library)
method:db:BMCdb:153	(SCOP)|(Structural\s+Classification\s+of\s+Proteins)
method:db:BMCdb:154	(SeqAnalRef)|(Sequence\s+Analysis\s+Bibliographic\s+Reference\s+[Dd]ata[Bb]ase)
method:db:BMCdb:155	(Sequence\s+Retrieval\s+System)
method:db:BMCdb:156	(SheepBASE)
method:db:BMCdb:157	(Sidechains)|(Atlas\s+of\s+Protein\s+Side-Chain\s+Interactions)
method:db:BMCdb:158	(SIGMA)|(System\s+for\s+Integrated\s+Genomic\s+Microarray\s+Analysis)
method:db:BMCdb:159	(SignalP)
method:db:BMCdb:160	(SilkDB)|(Silkworm\s+Knowledgebase)
method:db:BMCdb:161	(Small\s+RNA\s+[Dd]ata[Bb]ase)
method:db:BMCdb:162	(SM_3D)|(SWISS\s+MODEL\s+Repository)
method:db:BMCdb:163	(SNF2)|(SNF2\s+Family\s+of\s+Proteins)
method:db:BMCdb:164	(snoRNAbase\.nsf)
method:db:BMCdb:165	(SNPeffect)
method:db:BMCdb:166	(SNPSTR)
method:db:BMCdb:167	(South\s+African\s+National\s+Bioinformatics\s+Institute)
method:db:BMCdb:168	(STRBase)
method:db:BMCdb:169	(SWISS-MODEL)
method:db:BMCdb:170	(Swiss-Prot)
method:db:BMCdb:171	(SYSTERS\s+[Dd]ata[Bb]ase)|(SYSTEmatic\s+Re-Searching\s+[Dd]ata[Bb]ase)
method:db:BMCdb:172	(TargetDB)
method:db:BMCdb:173	(THE\s+ORFan\s+[Dd]ata[Bb]ase)
method:db:BMCdb:174	(TIGR\s+[Dd]ata[Bb]ases)
method:db:BMCdb:175	(TIGR\s+Human\s+Gene\s+Index)
method:db:BMCdb:176	(TIGR\s+Microbial\s+[Dd]ata[Bb]ase)
method:db:BMCdb:177	(TIGRFAMs)|(TIGR\s+Protein\s+families)
method:db:BMCdb:178	(tmRDB)|(tmRNA\s+[Dd]ata[Bb]ase)
method:db:BMCdb:179	(TREMBL)|(Translation\s+from\s+EMBL)
method:db:BMCdb:180	(tRNA)
method:db:BMCdb:181	(tRNAscan-SE)|(tRNAscan-SE\s+Search\s+Server)
method:db:BMCdb:182	(TRR)|(The\s+Thyroid\s+Hormone\s+Receptor\s+Resource)
method:db:BMCdb:183	(UCSC\s+Genome\s+Bioinformatics\s+Home)
method:db:BMCdb:184	(UniGene)|(Unique\s+Human\s+Gene\s+Sequence\s+Collection)
method:db:BMCdb:185	(uRNADB)|(The\s+uRNA\s+[Dd]ata[Bb]ase)
method:db:BMCdb:186	(UvrA)|(UvrA\s+Family\s+of\s+Proteins)
method:db:BMCdb:187	(VAST)|(Vector\s+Alignment\s+Search\s+Tool)
method:db:BMCdb:188	(VEGA)|(Vertebrate\s+Genome\s+Annotation\s+[Dd]ata[Bb]ase)
method:db:BMCdb:189	(VISTA)
method:db:BMCdb:190	(WebMiner)
method:db:BMCdb:191	(Weizmann\s+Institute\s+Genome\s+and\s+Bioinformatics)
method:db:BMCdb:192	(WoLF\s+PSORT)
method:db:BMCdb:193	(WWW\s+Signal\s+Scan)
method:db:BMCdb:194	(Xenopus\s+Molecular\s+Marker\s+Resource)
method:db:BMCdb:195	(Yale\s+Genome\s+Analysis\s+Centre)
method:db:BMCdb:196	(YRC\s+PDR)|(Yeast\s+Resource\s+Center\s+Public\s+Data\s+Repository)
method:sw:b.de:1	(AcaClone\s+pDRAW32)
method:sw:b.de:2	(AiO)
method:sw:b.de:3	(Alfresco)
method:sw:b.de:4	(ANTHEPROT)
method:sw:b.de:5	(Array-Pro\s+Analyzer)
method:sw:b.de:6	(ArrayMaker)
method:sw:b.de:7	(Artemis)
method:sw:b.de:8	(ATV)
method:sw:b.de:9	(Bacterial\s+Growth\s+3)
method:sw:b.de:10	(BCM\s+Search\s+Launcher)
method:sw:b.de:11	(Belvu)
method:sw:b.de:12	(BioAdviser)
method:sw:b.de:13	(Bioconductor)
method:sw:b.de:14	(BioEdit)
method:sw:b.de:15	(Bioinformatic\s+Workflow\s+Builder\s+Interface)|(BioWBI)
method:sw:b.de:16	(Bioinformatics\s+Data\s+Management\s+and\s+Analysis)
method:sw:b.de:17	(BioMedCAChe)
method:sw:b.de:18	(BIONJ)
method:sw:b.de:19	(BLAST)
method:sw:b.de:20	(Blitz\+\+)
method:sw:b.de:21	(Blixem)
method:sw:b.de:22	(Block\s+Maker)
method:sw:b.de:23	(BOXSHADE)
method:sw:b.de:24	(CAIC)
method:sw:b.de:25	(CDD)
method:sw:b.de:26	(Cell\s+Illustrator)
method:sw:b.de:27	(Chime)
method:sw:b.de:28	(CHROMA)
method:sw:b.de:29	(Chromas)
method:sw:b.de:30	(Clann)
method:sw:b.de:31	(CLC\s+Free\s+Workbench)
method:sw:b.de:32	(CLC\s+Gene\s+Workbench)
method:sw:b.de:33	(CLC\s+Protein\s+Workbench)
method:sw:b.de:34	(Clone\s+Manager\s+5)
method:sw:b.de:35	(CloneIt!)
method:sw:b.de:36	(CLUSFAVOR)
method:sw:b.de:37	(CLUSTALW)
method:sw:b.de:38	(ClustalX)
method:sw:b.de:39	(Clustering\s+Software\s+XCluster)
method:sw:b.de:40	(CODEHOP)
method:sw:b.de:41	(Compare)
method:sw:b.de:42	(COMPONENT)
method:sw:b.de:43	(Compute\s+pI/Mw)|(Compute\s+pI)|(Compute\s+Mw)
method:sw:b.de:44	(CONSEL)
method:sw:b.de:45	(CONSENSUS)
method:sw:b.de:46	(ConStruct)
method:sw:b.de:47	(CORBA)|(Common\s+Object\s+Request\s+Broker\s+Architecture)
method:sw:b.de:48	(Correspondence\s+Analysis\s+of\s+Codon\s+Usage)
method:sw:b.de:49	(CuraGen's\s+GeneScape\s+Portal\s+Site)
method:sw:b.de:50	(Cutter)
method:sw:b.de:51	(Darwin\s+stands)
method:sw:b.de:52	(Delila)
method:sw:b.de:53	(Delta2D)
method:sw:b.de:54	(DeltaStat)
method:sw:b.de:55	(DIALIGN)
method:sw:b.de:56	(DiAlign2)
method:sw:b.de:57	(Diplomo)
method:sw:b.de:58	(Distributed\s+Sequence\s+Annotation\s+System)|(DAS)
method:sw:b.de:59	(DNASIS)
method:sw:b.de:60	(DomainFinder)
method:sw:b.de:61	(Dotlet)
method:sw:b.de:62	(Dotter)
method:sw:b.de:63	(Dynametrics)
method:sw:b.de:64	(EA\s+Visualizer)
method:sw:b.de:65	(EMBOSS)|(European\s+Molecular\s+Biology\s+Open\s+Software\s+Suite)
method:sw:b.de:66	(ESPript)
method:sw:b.de:67	(ESSA)
method:sw:b.de:68	(ESTatePage)
method:sw:b.de:69	(ESTblast)
method:sw:b.de:70	(ESTs@EBI)
method:sw:b.de:71	(ESTScan)
method:sw:b.de:72	(ExPASy\s+Proteomics\s+tools)
method:sw:b.de:73	(Expressed\s+Sequence\s+Tags)
method:sw:b.de:74	(FAKtory)
method:sw:b.de:75	(FastM)
method:sw:b.de:76	(Features\s+of\s+MB)
method:sw:b.de:77	(ForCon)
method:sw:b.de:78	(GA\s+Archives)
method:sw:b.de:79	(GA\s+Optimizer)
method:sw:b.de:80	(GAlib)
method:sw:b.de:81	(GCUA)
method:sw:b.de:82	(GelSite\s+Analysis\s+Software)
method:sw:b.de:83	(GEML)
method:sw:b.de:84	(Genalysis)
method:sw:b.de:85	(Genamics\s+SoftwareSeek)
method:sw:b.de:86	(Gene\s+Construction\s+Kit)
method:sw:b.de:87	(GeneData\s+Impressionist\s+231)
method:sw:b.de:88	(GeneDoc)
method:sw:b.de:89	(GeneMachine)
method:sw:b.de:90	(GeneMark)
method:sw:b.de:91	(GeneNest)
method:sw:b.de:92	(GeneQuiz)
method:sw:b.de:93	(Genesis)
method:sw:b.de:94	(GeneTree)
method:sw:b.de:95	(GenLang)
method:sw:b.de:96	(GenomeInspector)
method:sw:b.de:97	(GenomePixelizer)
method:sw:b.de:98	(GENSCAN)
method:sw:b.de:99	(Geospiza)
method:sw:b.de:100	(Gepasi)
method:sw:b.de:101	(GlimmerM)
method:sw:b.de:102	(Glimmer)|(GLIMMer)|(Gene\s+Locator\s+and\s+Interpolated\s+Markov\s+Modeler)
method:sw:b.de:103	(GrailEXP)
method:sw:b.de:104	(GRAMS/32)
method:sw:b.de:105	(GROMOS)
method:sw:b.de:106	(HarvESTer)
method:sw:b.de:107	(Herolab\s+Analysis\s+Software)
method:sw:b.de:108	(HMMER)
method:sw:b.de:109	(HMMTOP)
method:sw:b.de:110	(HT_Clustal)
method:sw:b.de:111	(IconoClust)
method:sw:b.de:112	(Image)
method:sw:b.de:113	(iMolTalk)
method:sw:b.de:114	(IUBio\s+Archive)
method:sw:b.de:115	(Jalview)
method:sw:b.de:116	(Jarnac)
method:sw:b.de:117	(JDIP)
method:sw:b.de:118	(kPROT\s+server)
method:sw:b.de:119	(LabImage)
method:sw:b.de:120	(LAMA)|(Local\s+Alignment\s+of\s+Multiple\s+Alignments)
method:sw:b.de:121	(Lasergene\s+99)
method:sw:b.de:122	(MacClade)
method:sw:b.de:123	(MacPlasmap)|(MacPlasmap\s+Pro)
method:sw:b.de:124	(MacStripe)
method:sw:b.de:125	(MacTaxon)
method:sw:b.de:126	(MacVector)
method:sw:b.de:127	(Mangalam)
method:sw:b.de:128	(MATCH-BOX)
method:sw:b.de:129	(MatInspector)
method:sw:b.de:130	(MatInspector\s+professional)
method:sw:b.de:131	(MatrixPlot)
method:sw:b.de:132	(MBS-Aligner)
method:sw:b.de:133	(Mc-Sym)|(Macromolecular\s+Conformations\s+by\s+SYMbolic\s+programming)
method:sw:b.de:134	(MDTools)
method:sw:b.de:135	(MEGA)
method:sw:b.de:136	(Melanie\s+3)
method:sw:b.de:137	(Memetic\s+Algorithms)
method:sw:b.de:138	(Metatool)
method:sw:b.de:139	(Microarray\s+Software)
method:sw:b.de:140	(MicroArray\s+Suite)
method:sw:b.de:141	(miniPEDANT)
method:sw:b.de:142	(mira)
method:sw:b.de:143	(MMTK)
method:sw:b.de:144	(ModelGenerator\s+an\s+ModelInspector)
method:sw:b.de:145	(ModView)
method:sw:b.de:146	(Molecular\s+Simulations\s+Inc)
method:sw:b.de:147	(Molegro\s+Virtual\s+Docker)|(MVD)
method:sw:b.de:148	(MOLMOL)
method:sw:b.de:149	(Molphy)
method:sw:b.de:150	(MolTalk)
method:sw:b.de:151	(MPSA)
method:sw:b.de:152	(MSpeaks)
method:sw:b.de:153	(Musca)
method:sw:b.de:154	(MVIEW)
method:sw:b.de:155	(NHGRI\s+WebBLAST)
method:sw:b.de:156	(NucleoTech)
method:sw:b.de:157	(OMIGA)
method:sw:b.de:158	(PAL)
method:sw:b.de:159	(PAML)
method:sw:b.de:160	(Parallel\s+CLUSTAL\s+[XW])
method:sw:b.de:161	(Partek\s+Pro)
method:sw:b.de:162	(PARTISAN\s+arrayLIMS)
method:sw:b.de:163	(PAT)
method:sw:b.de:164	(PAUP\*)
method:sw:b.de:165	(PeptideMass)
method:sw:b.de:166	(Phoretix)
method:sw:b.de:167	(Phrap\s+and\s+Phred)
method:sw:b.de:168	(PHYLIP\s+)
method:sw:b.de:169	(PhyloBLAST)
method:sw:b.de:170	(Phylodendron)
method:sw:b.de:171	(PhyloDraw)
method:sw:b.de:172	(PhyloGrapher)
method:sw:b.de:173	(PHYLO_WIN)
method:sw:b.de:174	(PhylPro)
method:sw:b.de:175	(Plasmid\s+ARTIST)
method:sw:b.de:176	(PREDATOR)
method:sw:b.de:177	(PRIMER\s+PREMIER)
method:sw:b.de:178	(PROCRUSTES)
method:sw:b.de:179	(ProteinProspector)
method:sw:b.de:180	(ProtParam)
method:sw:b.de:181	(ProtScale)
method:sw:b.de:182	(PSeq-Gen)
method:sw:b.de:183	(Pyramids)
method:sw:b.de:184	(RasMol)
method:sw:b.de:185	(Raster3D)
method:sw:b.de:186	(RECOMBINE)
method:sw:b.de:187	(Redasoft\s+Plasmid\s+1\.0)
method:sw:b.de:188	(RefDB)
method:sw:b.de:189	(Reference\s+Manager)
method:sw:b.de:190	(RepeatMasker)
method:sw:b.de:191	(RNA\s+secondary\s+structure\s+prediction)
method:sw:b.de:192	(ROSE)
method:sw:b.de:193	(Rummage)
method:sw:b.de:194	(SAM)
method:sw:b.de:195	(SEALS)
method:sw:b.de:196	(SeaView)
method:sw:b.de:197	(Seq-Gen)
method:sw:b.de:198	(SeqEvolver)
method:sw:b.de:199	(SeqPup)
method:sw:b.de:200	(SEQtools)
method:sw:b.de:201	(Sequence\s+Analysis\s+Tools\s+at\s+NIH)
method:sw:b.de:202	(Sequence\s+Logos)
method:sw:b.de:203	(SeqVerter)
method:sw:b.de:204	(SeWeR)
method:sw:b.de:205	(Short\s+Time-series\s+Expression\s+Miner)|(STEM)
method:sw:b.de:206	(SIMPLE34)
method:sw:b.de:207	(SOSUI)
method:sw:b.de:208	(SplitsTree)
method:sw:b.de:209	(SPORes)
method:sw:b.de:210	(SPSS\s+Science)
method:sw:b.de:211	(Sputnik)
method:sw:b.de:212	(Staden\s+Package\s+WWW\s+site)
method:sw:b.de:213	(STAR)|(STructure\s+Analysis\s+of\s+RNA)
method:sw:b.de:214	(STRIDE)
method:sw:b.de:215	(Structural\s+Biology\s+Software\s+[Dd]ata[Bb]ase)
method:sw:b.de:216	(Swiss-PdbViewer)
method:sw:b.de:217	(Systems\s+Biology\s+Workbench)|(SBW)
method:sw:b.de:218	(T-REX)
method:sw:b.de:219	(Tandem\s+repeats\s+finder)
method:sw:b.de:220	(TDWG\s+Subgroup\s+on\s+Accession\s+Data)
method:sw:b.de:221	(Teiresias-based\s+gene\s+expression\s+analysis)
method:sw:b.de:222	(Teiresias-based\s+pattern\s+discovery)
method:sw:b.de:223	(Teiresias-based\s+text\s+mining)
method:sw:b.de:224	(TeXshade)
method:sw:b.de:225	(TeXtopo)
method:sw:b.de:226	(The\s+BioCORBA\s+Project)
method:sw:b.de:227	(The\s+Gene2EST\s+BLAST\s+Server)
method:sw:b.de:228	(The\s+Genetic\s+Programming\s+Notebook)
method:sw:b.de:229	(The\s+Linux)
method:sw:b.de:230	(The\s+Poland\s+server)
method:sw:b.de:231	(The\s+PSIPRED\s+protein\s+structure\s+prediction\s+server)
method:sw:b.de:232	(The\s+PUZZLE\s+Software)
method:sw:b.de:233	(The\s+stackPACK\s+data\s+assembly\s+system)
method:sw:b.de:234	(The\s+Stony\s+Brook\s+Algorithm\s+Repository)
method:sw:b.de:235	(Tm\s+Determination)
method:sw:b.de:236	(TMHMM)
method:sw:b.de:237	(TMR)
method:sw:b.de:238	(TOPAL\s+package)
method:sw:b.de:239	(TotalLab)
method:sw:b.de:240	(TRADAT)
method:sw:b.de:241	(TransAlign)
method:sw:b.de:242	(treealign)
method:sw:b.de:243	(TREECON)
